"","field_1","field_2","field_3","field_4","X_mean"
"87",1267,5.93000000005122,18.7899999995716,6.65,40
"88",1269,7.9100000000326,18.7899999995716,5.92,30
"89",1272,10.8700000001118,18.7899999995716,6.43,35
"90",1274,12.8500000000931,18.7899999995716,6.44,40
"91",1275,13.8400000000838,18.7899999995716,6.5,40
"92",1277,15.8200000000652,18.7899999995716,6.25,30
"93",1280,18.7800000000279,18.7899999995716,6.21,35
"94",1282,20.7600000000093,18.7899999995716,6.59,40
"95",1283,21.75,18.7899999995716,6.62,40
"96",1415,3.95000000006985,17.7999999998137,6.61,40
"97",1416,4.94000000006054,17.7999999998137,6.66,40
"98",1417,5.93000000005122,17.7999999998137,6.56,40
"99",1419,7.9100000000326,17.7999999998137,6.05,30
"100",1421,9.88000000000466,17.7999999998137,6.27,35
"101",1422,10.8700000001118,17.7999999998137,6.32,35
"102",1424,12.8500000000931,17.7999999998137,6.37,40
"103",1425,13.8400000000838,17.7999999998137,5.98,40
"104",1427,15.8200000000652,17.7999999998137,6.34,30
"105",1429,17.7900000000373,17.7999999998137,5.91,35
"106",1430,18.7800000000279,17.7999999998137,6.12,35
"107",1432,20.7600000000093,17.7999999998137,6.36,40
"108",1433,21.75,17.7999999998137,6.44,40
"109",1561,3.95000000006985,16.8099999995902,6.65,40
"110",1562,4.94000000006054,16.8099999995902,6.7,40
"111",1563,5.93000000005122,16.8099999995902,6.16,40
"112",1564,6.92000000004191,16.8099999995902,5.72,30
"113",1565,7.9100000000326,16.8099999995902,6.18,30
"114",1567,9.88000000000466,16.8099999995902,6.25,35
"115",1570,12.8500000000931,16.8099999995902,6.39,40
"116",1571,13.8400000000838,16.8099999995902,5.39,40
"117",1572,14.8300000000745,16.8099999995902,5.84,30
"118",1573,15.8200000000652,16.8099999995902,6.36,30
"119",1575,17.7900000000373,16.8099999995902,6.08,35
"120",1578,20.7600000000093,16.8099999995902,6.29,40
"121",1579,21.75,16.8099999995902,6.38,40
"122",1703,3.95000000006985,15.8199999998324,6.63,40
"123",1704,4.94000000006054,15.8199999998324,6.69,40
"124",1706,6.92000000004191,15.8199999998324,6.14,30
"125",1709,9.88000000000466,15.8199999998324,6.24,35
"126",1711,11.8600000001024,15.8199999998324,6.03,40
"127",1712,12.8500000000931,15.8199999998324,6.51,40
"128",1714,14.8300000000745,15.8199999998324,6.04,30
"129",1717,17.7900000000373,15.8199999998324,6.17,35
"130",1719,19.7700000000186,15.8199999998324,6.45,40
"131",1720,20.7600000000093,15.8199999998324,6.42,40
"132",1841,2.96000000007916,14.839999999851,6.6,40
"133",1842,3.95000000006985,14.839999999851,6.73,40
"134",1843,4.94000000006054,14.839999999851,6.56,40
"135",1845,6.92000000004191,14.839999999851,6.33,30
"136",1847,8.89000000001397,14.839999999851,6.41,35
"137",1848,9.88000000000466,14.839999999851,6.23,35
"138",1850,11.8600000001024,14.839999999851,6.48,40
"139",1851,12.8500000000931,14.839999999851,5.57,40
"140",1853,14.8300000000745,14.839999999851,6.24,30
"141",1855,16.8000000000466,14.839999999851,6.34,35
"142",1856,17.7900000000373,14.839999999851,6.1,35
"143",1858,19.7700000000186,14.839999999851,6.34,40
"144",1859,20.7600000000093,14.839999999851,6.35,40
"145",1991,2.96000000007916,13.8499999996275,6.59,40
"146",1993,3.95000000006985,13.8499999996275,6.68,40
"147",1994,4.94000000006054,13.8499999996275,5.89,40
"148",1995,5.93000000005122,13.8499999996275,5.84,30
"149",1996,6.92000000004191,13.8499999996275,6.38,30
"150",1998,8.89000000001397,13.8499999996275,6.26,35
"151",2001,11.8600000001024,13.8499999996275,6.53,40
"152",2002,12.8500000000931,13.8499999996275,5.44,40
"153",2004,13.8400000000838,13.8499999996275,5.61,30
"154",2005,14.8300000000745,13.8499999996275,6.18,30
"155",2007,16.8000000000466,13.8499999996275,6.17,35
"156",2010,19.7700000000186,13.8499999996275,6.41,40
"157",2011,20.7600000000093,13.8499999996275,6.49,40
"158",2134,2.96000000007916,12.8599999998696,6.62,40
"159",2135,3.95000000006985,12.8599999998696,6.52,40
"160",2137,5.93000000005122,12.8599999998696,6.26,30
"161",2140,8.89000000001397,12.8599999998696,6.38,35
"162",2142,10.8700000001118,12.8599999998696,6.55,40
"163",2143,11.8600000001024,12.8599999998696,6.52,40
"164",2145,13.8400000000838,12.8599999998696,6.14,30
"165",2148,16.8000000000466,12.8599999998696,6.09,35
"166",2150,18.7800000000279,12.8599999998696,6.5,40
"167",2151,19.7700000000186,12.8599999998696,6.46,40
"168",2261,1.97000000008848,11.8699999996461,6.64,40
"169",2262,2.96000000007916,11.8699999996461,6.68,40
"170",2263,3.95000000006985,11.8699999996461,6.55,40
"171",2265,5.93000000005122,11.8699999996461,6.35,30
"172",2267,7.9100000000326,11.8699999996461,6.42,35
"173",2268,8.89000000001397,11.8699999996461,6.46,35
"174",2270,10.8700000001118,11.8699999996461,6.4,40
"175",2271,11.8600000001024,11.8699999996461,5.68,40
"176",2273,13.8400000000838,11.8699999996461,6.04,30
"177",2275,15.8200000000652,11.8699999996461,6.28,35
"178",2276,16.8000000000466,11.8699999996461,5.62,35
"179",2278,18.7800000000279,11.8699999996461,6.54,40
"180",2279,19.7700000000186,11.8699999996461,6.55,40
"181",2385,1.97000000008848,10.8799999998882,6.59,40
"182",2386,2.96000000007916,10.8799999998882,6.68,40
"183",2387,3.95000000006985,10.8799999998882,6.21,40
"184",2388,4.94000000006054,10.8799999998882,6.11,30
"185",2389,5.93000000005122,10.8799999998882,6.52,30
"186",2391,7.9100000000326,10.8799999998882,6.29,35
"187",2394,10.8700000001118,10.8799999998882,6.64,40
"188",2395,11.8600000001024,10.8799999998882,5.21,40
"189",2396,12.8500000000931,10.8799999998882,5.54,30
"190",2397,13.8400000000838,10.8799999998882,6.22,30
"191",2399,15.8200000000652,10.8799999998882,5.89,35
"192",2402,18.7800000000279,10.8799999998882,6.48,40
"193",2403,19.7700000000186,10.8799999998882,6.6,40
"194",2506,1.97000000008848,9.88999999966472,6.65,40
"195",2507,2.96000000007916,9.88999999966472,6.63,40
"196",2509,4.94000000006054,9.88999999966472,6.46,30
"197",2512,7.9100000000326,9.88999999966472,6.54,35
"198",2514,9.88000000000466,9.88999999966472,6.57,40
"199",2515,10.8700000001118,9.88999999966472,6.61,40
"200",2517,12.8500000000931,9.88999999966472,6.05,30
"201",2520,15.8200000000652,9.88999999966472,5.96,35
"202",2522,17.7900000000373,9.88999999966472,6.51,40
"203",2523,18.7800000000279,9.88999999966472,6.54,40
"204",2621,0.980000000097789,8.89999999990687,6.65,40
"205",2622,1.97000000008848,8.89999999990687,6.76,40
"206",2623,2.96000000007916,8.89999999990687,6.64,40
"207",2625,4.94000000006054,8.89999999990687,6.59,30
"208",2627,6.92000000004191,8.89999999990687,6.69,35
"209",2628,7.9100000000326,8.89999999990687,6.53,35
"210",2630,9.88000000000466,8.89999999990687,6.48,40
"211",2631,10.8700000001118,8.89999999990687,5.9,40
"212",2633,12.8500000000931,8.89999999990687,6.38,30
"213",2635,14.8300000000745,8.89999999990687,6.1,35
"214",2636,15.8200000000652,8.89999999990687,6.26,35
"215",2638,17.7900000000373,8.89999999990687,6.58,40
"216",2639,18.7800000000279,8.89999999990687,6.51,40
"217",2733,0.980000000097789,7.90999999968335,6.78,40
"218",2734,1.97000000008848,7.90999999968335,6.8,40
"219",2735,2.96000000007916,7.90999999968335,6.5,40
"220",2736,3.95000000006985,7.90999999968335,6.44,30
"221",2737,4.94000000006054,7.90999999968335,6.75,30
"222",2739,6.92000000004191,7.90999999968335,6.46,35
"223",2742,9.88000000000466,7.90999999968335,6.73,40
"224",2743,10.8700000001118,7.90999999968335,5.19,40
"225",2744,11.8600000001024,7.90999999968335,5.87,30
"226",2745,12.8500000000931,7.90999999968335,6.29,30
"227",2747,14.8300000000745,7.90999999968335,6.23,35
"228",2750,17.7900000000373,7.90999999968335,6.51,40
"229",2751,18.7800000000279,7.90999999968335,6.57,40
"230",2842,0.980000000097789,6.91999999992549,6.79,40
"231",2843,1.97000000008848,6.91999999992549,6.83,40
"232",2845,3.95000000006985,6.91999999992549,6.76,30
"233",2848,6.92000000004191,6.91999999992549,6.86,35
"234",2850,8.89000000001397,6.91999999992549,6.83,40
"235",2851,9.88000000000466,6.91999999992549,6.83,40
"236",2853,11.8600000001024,6.91999999992549,6.09,30
"237",2856,14.8300000000745,6.91999999992549,6.22,35
"238",2858,16.8000000000466,6.91999999992549,6.62,40
"239",2859,17.7900000000373,6.91999999992549,6.38,40
"240",2947,0,5.93999999994412,6.82,40
"241",2948,0.980000000097789,5.93999999994412,6.98,40
"242",2949,1.97000000008848,5.93999999994412,6.85,40
"243",2951,3.95000000006985,5.93999999994412,6.88,30
"244",2953,5.93000000005122,5.93999999994412,6.93,35
"245",2954,6.92000000004191,5.93999999994412,6.84,35
"246",2956,8.89000000001397,5.93999999994412,6.81,40
"247",2957,9.88000000000466,5.93999999994412,5.83,40
"248",2959,11.8600000001024,5.93999999994412,6.3,30
"249",2961,13.8400000000838,5.93999999994412,6.34,35
"250",2962,14.8300000000745,5.93999999994412,6.29,35
"251",2964,16.8000000000466,5.93999999994412,6.71,40
"252",2965,17.7900000000373,5.93999999994412,6.65,40
"253",3048,0,4.9499999997206,6.4,40
"254",3049,0.980000000097789,4.9499999997206,6.88,40
"255",3050,1.97000000008848,4.9499999997206,6.59,40
"256",3051,2.96000000007916,4.9499999997206,6.39,30
"257",3052,3.95000000006985,4.9499999997206,6.78,30
"258",3054,5.93000000005122,4.9499999997206,6.9,35
"259",3057,8.89000000001397,4.9499999997206,7.06,40
"260",3058,9.88000000000466,4.9499999997206,5.64,40
"261",3059,10.8700000001118,4.9499999997206,6.1,30
"262",3060,11.8600000001024,4.9499999997206,6.47,30
"263",3062,13.8400000000838,4.9499999997206,6.77,35
"264",3065,16.8000000000466,4.9499999997206,6.65,40
"265",3066,17.7900000000373,4.9499999997206,6.66,40
"266",3162,2.96000000007916,3.95999999996275,6.91,30
"267",3166,5.93000000005122,3.95999999996275,6.95,35
"268",3168,7.9100000000326,3.95999999996275,6.94,40
"269",3169,8.89000000001397,3.95999999996275,6.89,40
"270",3171,10.8700000001118,3.95999999996275,6.37,30
"271",3175,13.8400000000838,3.95999999996275,6.52,35
"272",3177,15.8200000000652,3.95999999996275,6.73,40
"273",3178,16.8000000000466,3.95999999996275,6.78,40
"274",3270,4.94000000006054,2.96999999973923,6.89,35
"275",3271,5.93000000005122,2.96999999973923,6.22,35
"276",3273,7.9100000000326,2.96999999973923,6.98,40
"277",3274,8.89000000001397,2.96999999973923,6.39,40
"278",3276,10.8700000001118,2.96999999973923,6.69,30
"279",3278,12.8500000000931,2.96999999973923,6.7,35
"280",3279,13.8400000000838,2.96999999973923,6.62,35
"281",3281,15.8200000000652,2.96999999973923,6.85,40
"282",3282,16.8000000000466,2.96999999973923,6.63,40
"283",3363,7.9100000000326,1.97999999998137,6.58,40
"284",3365,9.88000000000466,1.97999999998137,5.94,30
"285",3366,10.8700000001118,1.97999999998137,6.46,30
"286",3368,12.8500000000931,1.97999999998137,6.75,35
"287",3371,15.8200000000652,1.97999999998137,6.83,40
"288",3372,16.8000000000466,1.97999999998137,6.93,40
"289",3453,12.8500000000931,0.989999999757856,7.05,35
"290",3455,14.8300000000745,0.989999999757856,7.03,40
"291",3456,15.8200000000652,0.989999999757856,7.01,40
"292",3536,14.8300000000745,0,6.58,40
"293",3537,15.8200000000652,0,6.64,40
"294",7579,9.88000000000466,33.6199999996461,6.64,40
"295",7580,10.8700000001118,33.6199999996461,6.19,40
"296",7743,9.88000000000466,32.6299999998882,6.69,40
"297",7744,10.8700000001118,32.6299999998882,6.73,40
"298",7746,12.8500000000931,32.6299999998882,5.6,30
"299",7907,8.89000000001397,31.6399999996647,6.66,40
"300",7908,9.88000000000466,31.6399999996647,6.67,40
"301",7909,10.8700000001118,31.6399999996647,6.39,40
"302",7910,11.8600000001024,31.6399999996647,5.92,30
"303",7911,12.8500000000931,31.6399999996647,6.32,30
"304",7913,14.8300000000745,31.6399999996647,6.56,35
"305",8081,8.89000000001397,30.6599999996834,6.79,40
"306",8082,9.88000000000466,30.6599999996834,6.68,40
"307",8084,11.8600000001024,30.6599999996834,6.17,30
"308",8087,14.8300000000745,30.6599999996834,6.62,35
"309",8089,16.8000000000466,30.6599999996834,5.86,40
"310",8090,17.7900000000373,30.6599999996834,6.09,40
"311",8092,19.7700000000186,30.6599999996834,6.51,30
"312",8258,8.89000000001397,29.6699999999255,6.81,40
"313",8259,9.88000000000466,29.6699999999255,6.64,40
"314",8261,11.8600000001024,29.6699999999255,6.58,30
"315",8263,13.8400000000838,29.6699999999255,6.59,35
"316",8264,14.8300000000745,29.6699999999255,6.63,35
"317",8266,16.8000000000466,29.6699999999255,6.29,40
"318",8267,17.7900000000373,29.6699999999255,5.93,40
"319",8269,19.7700000000186,29.6699999999255,6.54,30
"320",8271,21.75,29.6699999999255,5.66,35
"321",8272,22.7400000001071,29.6699999999255,5.53,35
"322",8436,7.9100000000326,28.679999999702,6.76,40
"323",8437,8.89000000001397,28.679999999702,6.69,40
"324",8438,9.88000000000466,28.679999999702,6.25,40
"325",8439,10.8700000001118,28.679999999702,5.83,30
"326",8440,11.8600000001024,28.679999999702,6.53,30
"327",8442,13.8400000000838,28.679999999702,6.61,35
"328",8445,16.8000000000466,28.679999999702,6.5,40
"329",8446,17.7900000000373,28.679999999702,5.43,40
"330",8447,18.7800000000279,28.679999999702,5.7,30
"331",8448,19.7700000000186,28.679999999702,6.21,30
"332",8450,21.75,28.679999999702,6.03,35
"333",8453,24.7100000000792,28.679999999702,6.28,40
"334",8454,25.7000000000698,28.679999999702,6.08,40
"335",8619,7.9100000000326,27.6899999999441,6.76,40
"336",8620,8.89000000001397,27.6899999999441,6.78,40
"337",8622,10.8700000001118,27.6899999999441,6.29,30
"338",8625,13.8400000000838,27.6899999999441,6.37,35
"339",8627,15.8200000000652,27.6899999999441,6.59,40
"340",8628,16.8000000000466,27.6899999999441,6.55,40
"341",8630,18.7800000000279,27.6899999999441,6.25,30
"342",8633,21.75,27.6899999999441,6.16,35
"343",8635,23.7300000000978,27.6899999999441,6.45,40
"344",8636,24.7100000000792,27.6899999999441,6.57,40
"345",8804,7.9100000000326,26.6999999997206,6.8,40
"346",8805,8.89000000001397,26.6999999997206,6.67,40
"347",8807,10.8700000001118,26.6999999997206,6.41,30
"348",8809,12.8500000000931,26.6999999997206,6.64,35
"349",8810,13.8400000000838,26.6999999997206,6.53,35
"350",8812,15.8200000000652,26.6999999997206,6.4,40
"351",8813,16.8000000000466,26.6999999997206,5.94,40
"352",8815,18.7800000000279,26.6999999997206,6.17,30
"353",8817,20.7600000000093,26.6999999997206,6.3,35
"354",8818,21.75,26.6999999997206,6.31,35
"355",8820,23.7300000000978,26.6999999997206,6.59,40
"356",8821,24.7100000000792,26.6999999997206,6.61,40
